IPA Target,IPA Actual,error_pattern
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,fj,substitution-C1sub-C2pres
bj,w,reduction-C1del-C2sub
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,v,reduction-C1sub-C2del
bj,b,reduction-C1pres-C2del
bj,vj,substitution-C1sub-C2pres
bj,β,reduction-C1sub-C2del
bl,bl,accurate
bl,bl,accurate
bl,b,reduction-C1pres-C2del
bl,bj,substitution-C1pres-C2sub
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,bl,accurate
bl,bl,accurate
bl,bl,accurate
bl,l,reduction-C1del-C2pres
bl,bl,accurate
bl,bl,accurate
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bw,bw,accurate
bw,bw,accurate
bw,bj,substitution-C1pres-C2sub
bw,β,reduction-C1sub-C2del
bw,w,reduction-C1del-C2pres
bw,ᵇ̵w,reduction-C1del-C2sub
bw,v,reduction-C1sub-C2del
bw,bʌˈb,epenthesis
bw,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,bɹ,accurate
bɹ,bɹ,accurate
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,bʳ,reduction-C1sub-C2del
bɾ,bɹ,substitution-C1pres-C2sub
bɾ,bw,substitution-C1pres-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,bj,substitution-C1pres-C2sub
bɾ,bl,substitution-C1pres-C2sub
bɾ,w,reduction-C1sub-C2del
bɾ,bɹ,substitution-C1pres-C2sub
bɾ,d͈,reduction-C1del-C2sub
bɾ,d͈,reduction-C1del-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,∅,deletion
bɾ,mv,substitution-C1sub-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,p,reduction-C1sub-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,bj,substitution-C1pres-C2sub
dj,dj,accurate
dj,j,reduction-C1del-C2pres
dj,w,reduction-C1del-C2sub
dj,dj,accurate
dj,dj,accurate
dj,d,reduction-C1pres-C2del
dj,d,reduction-C1pres-C2del
dj,j,reduction-C1del-C2pres
dj,d,reduction-C1pres-C2del
dw,w,reduction-C1del-C2pres
dw,d,reduction-C1pres-C2del
dw,d,reduction-C1pres-C2del
dw,d,reduction-C1pres-C2del
dw,b,reduction-C1sub-C2del
dw,b,reduction-C1sub-C2del
dw,∅,deletion
dw,d,reduction-C1pres-C2del
dw,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,t,reduction-C1sub-C2del
dɹ,ʧ,reduction-C1sub-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɹ,d,reduction-C1pres-C2del
dɾ,t,reduction-C1sub-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,j,reduction-C1del-C2sub
dɾ,l,reduction-C1sub-C2del
dɾ,d͈,reduction-C1sub-C2del
dɾ,d͈,reduction-C1sub-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,dɾ,accurate
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,fi,epenthesis
fj,fj,accurate
fj,fl,substitution-C1pres-C2sub
fj,fl,substitution-C1pres-C2sub
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fl,fl,accurate
fl,fl,accurate
fl,fl,accurate
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,fl,accurate
fl,fl,accurate
fl,fl,accurate
fl,fl,accurate
fl,fel,epenthesis
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fw,fw,accurate
fw,f,reduction-C1pres-C2del
fw,f,reduction-C1pres-C2del
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,f,reduction-C1pres-C2del
fw,fj,substitution-C1pres-C2sub
fw,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɹ,fɹ,accurate
fɹ,fw,substitution-C1pres-C2sub
fɹ,fw,substitution-C1pres-C2sub
fɾ,f,reduction-C1pres-C2del
fɾ,fij,epenthesis
fɾ,fɹ,substitution-C1pres-C2sub
fɾ,f,reduction-C1pres-C2del
fɾ,fl,substitution-C1pres-C2sub
fɾ,fɹ,substitution-C1pres-C2sub
fɾ,fɹ,substitution-C1pres-C2sub
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
kj,kj,accurate
kj,kj,accurate
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,k,reduction-C1pres-C2del
kj,kj,accurate
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,kj,accurate
kj,k,reduction-C1pres-C2del
kj,k,reduction-C1pres-C2del
kl,kl,accurate
kl,kl,accurate
kl,kl,accurate
kl,k,reduction-C1pres-C2del
kl,kl,accurate
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,kl,accurate
kl,kl,accurate
kl,kl,accurate
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kl,kl,accurate
kl,kl,accurate
kl,∅,deletion
kl,k,reduction-C1pres-C2del
kl,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,kj,substitution-C1pres-C2sub
kw,kj,substitution-C1pres-C2sub
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,t,reduction-C1sub-C2del
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,kj,substitution-C1pres-C2sub
kw,k,reduction-C1pres-C2del
kw,kj,substitution-C1pres-C2sub
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kw,k,reduction-C1pres-C2del
kɹ,k,reduction-C1pres-C2del
kɹ,k,reduction-C1pres-C2del
kɹ,kj,substitution-C1pres-C2sub
kɹ,k,reduction-C1pres-C2del
kɹ,k,reduction-C1pres-C2del
kɹ,k,reduction-C1pres-C2del
kɹ,k,reduction-C1pres-C2del
kɹ,k,reduction-C1pres-C2del
kɾ,k,reduction-C1pres-C2del
kɾ,kj,substitution-C1pres-C2sub
kɾ,k,reduction-C1pres-C2del
kɾ,kj,substitution-C1pres-C2sub
kɾ,k,reduction-C1pres-C2del
kɾ,kj,substitution-C1pres-C2sub
kɾ,l,reduction-C1del-C2sub
kɾ,k,reduction-C1pres-C2del
kɾ,k,reduction-C1pres-C2del
kɾ,k,reduction-C1pres-C2del
kɾ,k,reduction-C1pres-C2del
lj,j,reduction-C1del-C2pres
lj,j,reduction-C1del-C2pres
lj,j,reduction-C1del-C2pres
lj,lj,accurate
lj,j,reduction-C1del-C2pres
lj,l,reduction-C1pres-C2del
lj,nj,substitution-C1sub-C2pres
lj,mj,substitution-C1sub-C2pres
lj,l,reduction-C1pres-C2del
lw,l,reduction-C1pres-C2del
lw,l,reduction-C1pres-C2del
lw,nj,substitution-C1sub-C2sub
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mj,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
mw,m,reduction-C1pres-C2del
nj,n,reduction-C1pres-C2del
nj,n,reduction-C1pres-C2del
nj,nj,accurate
nj,n,reduction-C1pres-C2del
nj,n,reduction-C1pres-C2del
nj,ɲ,reduction-C1del-C2sub
nw,no,epenthesis
nw,n,reduction-C1pres-C2del
nw,n,reduction-C1pres-C2del
nw,n,reduction-C1pres-C2del
nw,n,reduction-C1pres-C2del
nw,m,reduction-C1sub-C2del
nw,n,reduction-C1pres-C2del
nw,nj,substitution-C1pres-C2sub
nw,n,reduction-C1pres-C2del
pj,p,reduction-C1pres-C2del
pj,p,reduction-C1pres-C2del
pj,p,reduction-C1pres-C2del
pj,p,reduction-C1pres-C2del
pj,pj,accurate
pj,pw,substitution-C1pres-C2sub
pj,p,reduction-C1pres-C2del
pj,pl,substitution-C1pres-C2sub
pj,p,reduction-C1pres-C2del
pj,p,reduction-C1pres-C2del
pj,p,reduction-C1pres-C2del
pj,pe,epenthesis
pl,pl,accurate
pl,pl,accurate
pl,pl,accurate
pl,pl,accurate
pl,p,reduction-C1pres-C2del
pl,p,reduction-C1pres-C2del
pl,pw,substitution-C1pres-C2sub
pl,p,reduction-C1pres-C2del
pl,p,reduction-C1pres-C2del
pl,pl,accurate
pl,pw,substitution-C1pres-C2sub
pl,ban,epenthesis
pl,pl,accurate
pl,p,reduction-C1pres-C2del
pl,p,reduction-C1pres-C2del
pw,p,reduction-C1pres-C2del
pw,p,reduction-C1pres-C2del
pw,pʷ,reduction-C1sub-C2del
pw,pw,accurate
pw,p,reduction-C1pres-C2del
pw,p,reduction-C1pres-C2del
pw,p,reduction-C1pres-C2del
pw,p,reduction-C1pres-C2del
pw,p,reduction-C1pres-C2del
pɹ,p,reduction-C1pres-C2del
pɹ,p,reduction-C1pres-C2del
pɹ,p,reduction-C1pres-C2del
pɹ,ɹ,reduction-C1del-C2pres
pɹ,pɹ,accurate
pɹ,p,reduction-C1pres-C2del
pɹ,p,reduction-C1pres-C2del
pɹ,p,reduction-C1pres-C2del
pɾ,p,reduction-C1pres-C2del
pɾ,p,reduction-C1pres-C2del
pɾ,p,reduction-C1pres-C2del
pɾ,pɹ,substitution-C1pres-C2sub
pɾ,pɹ,substitution-C1pres-C2sub
pɾ,f,reduction-C1sub-C2del
pɾ,p,reduction-C1pres-C2del
pɾ,p,reduction-C1pres-C2del
pɾ,p,reduction-C1pres-C2del
rj,l,reduction-C1sub-C2del
rj,l,reduction-C1sub-C2del
rj,l,reduction-C1sub-C2del
rj,ɹl,substitution-C1sub-C2sub
rj,l,reduction-C1sub-C2del
rj,dj,substitution-C1sub-C2pres
rj,nd,substitution-C1sub-C2sub
rj,r,reduction-C1pres-C2del
rj,lj,substitution-C1sub-C2pres
rw,l,reduction-C1sub-C2del
rw,l,reduction-C1sub-C2del
rw,l,reduction-C1sub-C2del
rw,lj,substitution-C1sub-C2sub
rw,l,reduction-C1sub-C2del
rw,w,reduction-C1del-C2pres
rw,∅,deletion
rw,βj,substitution-C1sub-C2sub
rw,n,reduction-C1sub-C2del
sj,ʦj,substitution-C1sub-C2pres
sj,ʦ,reduction-C1sub-C2del
sj,ʦ,reduction-C1sub-C2del
sj,sj,accurate
sj,ʦ,reduction-C1sub-C2del
sj,d,reduction-C1sub-C2del
sj,s,reduction-C1pres-C2del
sj,sij,epenthesis
sj,ʦt,substitution-C1sub-C2sub
sj,s,reduction-C1pres-C2del
sj,s,reduction-C1pres-C2del
sk,sk,accurate
sk,sk,accurate
sk,sk,accurate
sk,sp,substitution-C1pres-C2sub
sk,p,reduction-C1sub-C2del
sk,sk,accurate
sk,k,reduction-C1del-C2pres
sk,ɡ,reduction-C1del-C2sub
sk,k,reduction-C1del-C2pres
sk,k,reduction-C1del-C2pres
skw,z,reduction-C1sub-C2del-C3del
skw,sk,reduction-C1pres-C2pres-C3del
skw,sk,reduction-C1pres-C2pres-C3del
skw,sk,reduction-C1pres-C2pres-C3del
skw,sk,reduction-C1pres-C2pres-C3del
skw,ɡ,reduction-C1del-C2sub-C3del
skw,k,reduction-C1del-C2pres-C3del
skw,k,reduction-C1del-C2pres-C3del
skw,k,reduction-C1del-C2pres-C3del
skw,k,reduction-C1del-C2pres-C3del
skɹ,sk,reduction-C1pres-C2pres-C3del
skɹ,sk,reduction-C1pres-C2pres-C3del
skɹ,sk,reduction-C1pres-C2pres-C3del
skɹ,sk,reduction-C1pres-C2pres-C3del
skɹ,sk,reduction-C1pres-C2pres-C3del
skɹ,kj,reduction-C1del-C2pres-C3sub
skɹ,kj,reduction-C1del-C2pres-C3sub
skɹ,k,reduction-C1del-C2pres-C3del
skɹ,k,reduction-C1del-C2pres-C3del
skɹ,k,reduction-C1del-C2pres-C3del
sl,sl,accurate
sl,tl,substitution-C1sub-C2pres
sl,tl,substitution-C1sub-C2pres
sl,tl,substitution-C1sub-C2pres
sl,sl,accurate
sl,s,reduction-C1pres-C2del
sl,ʦ,reduction-C1sub-C2del
sl,ʦ,reduction-C1sub-C2del
sm,sm,accurate
sm,sm,accurate
sm,sm,accurate
sm,sp,substitution-C1pres-C2sub
sm,m,reduction-C1del-C2pres
sm,m,reduction-C1del-C2pres
sm,m,reduction-C1del-C2pres
sm,m,reduction-C1del-C2pres
sn,sn,accurate
sn,sn,accurate
sn,sn,accurate
sn,n,reduction-C1del-C2pres
sn,ʰ̵n,reduction-C1del-C2sub
sn,ʰ̵n,reduction-C1del-C2sub
sp,sp,accurate
sp,sp,accurate
sp,sk,substitution-C1pres-C2sub
sp,p,reduction-C1del-C2pres
sp,p,reduction-C1del-C2pres
sp,p,reduction-C1del-C2pres
sp,p,reduction-C1del-C2pres
spl,sp,reduction-C1pres-C2pres-C3del
spl,sl,reduction-C1pres-C2del-C3pres
spl,sp,reduction-C1pres-C2pres-C3del
spl,spj,substitution-C1pres-C2pres-C3sub
spl,p,reduction-C1del-C2pres-C3del
spl,p,reduction-C1del-C2pres-C3del
spl,pɪj,epenthesis
spl,p,reduction-C1del-C2pres-C3del
spɹ,sp,reduction-C1pres-C2pres-C3del
spɹ,sp,reduction-C1pres-C2pres-C3del
spɹ,sp,reduction-C1pres-C2pres-C3del
spɹ,p,reduction-C1del-C2pres-C3del
spɹ,pɛŋ,epenthesis
st,st,accurate
st,st,accurate
st,st,accurate
st,st,accurate
st,st,accurate
st,t,reduction-C1del-C2pres
st,tʰ,reduction-C1del-C2sub
st,t,reduction-C1del-C2pres
st,s̪,reduction-C1sub-C2del
st,t,reduction-C1del-C2pres
st,t,reduction-C1del-C2pres
st,t,reduction-C1del-C2pres
stɹ,st,reduction-C1pres-C2pres-C3del
stɹ,st,reduction-C1pres-C2pres-C3del
stɹ,st,reduction-C1pres-C2pres-C3del
stɹ,st,reduction-C1pres-C2pres-C3del
stɹ,d,reduction-C1del-C2sub-C3del
stɹ,t,reduction-C1del-C2pres-C3del
stɹ,d,reduction-C1del-C2sub-C3del
stɹ,tʰ,reduction-C1del-C2sub-C3del
sw,t,reduction-C1sub-C2del
sw,t,reduction-C1sub-C2del
sw,fw,substitution-C1sub-C2pres
sw,f,reduction-C1sub-C2del
sw,f,reduction-C1sub-C2del
sw,vw,substitution-C1sub-C2pres
sw,sw,accurate
sw,ʦ,reduction-C1sub-C2del
sw,s,reduction-C1pres-C2del
sw,f,reduction-C1sub-C2del
sw,s,reduction-C1pres-C2del
sw,ʦ,reduction-C1sub-C2del
sw,ʦ,reduction-C1sub-C2del
sw,ʦ,reduction-C1sub-C2del
sw,sf,substitution-C1pres-C2sub
sw,sw,accurate
sw,f,reduction-C1sub-C2del
sw,ʦ,reduction-C1sub-C2del
sw,f,reduction-C1sub-C2del
sw,f,reduction-C1sub-C2del
sw,s,reduction-C1pres-C2del
tj,tj,accurate
tj,tj,accurate
tj,k,reduction-C1sub-C2del
tj,tj,accurate
tj,tj,accurate
tj,t,reduction-C1pres-C2del
tj,t,reduction-C1pres-C2del
tj,t,reduction-C1pres-C2del
tj,tʰ,reduction-C1sub-C2del
tw,s,reduction-C1sub-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,tʰ,reduction-C1sub-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,b,reduction-C1sub-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,t,reduction-C1pres-C2del
tw,tʰ,reduction-C1sub-C2del
tɹ,s,reduction-C1sub-C2del
tɹ,t,reduction-C1pres-C2del
tɹ,ʦ,reduction-C1sub-C2del
tɹ,t,reduction-C1pres-C2del
tɹ,tʰ,reduction-C1sub-C2del
tɹ,t,reduction-C1pres-C2del
tɹ,tʰ,reduction-C1sub-C2del
tɹ,tʰ,reduction-C1sub-C2del
tɾ,ʦ,reduction-C1sub-C2del
tɾ,tj,substitution-C1pres-C2sub
tɾ,t,reduction-C1pres-C2del
tɾ,t,reduction-C1pres-C2del
tɾ,tj,substitution-C1pres-C2sub
tɾ,t,reduction-C1pres-C2del
tɾ,tj,substitution-C1pres-C2sub
tɾ,t,reduction-C1pres-C2del
tɾ,t,reduction-C1pres-C2del
tɾ,t,reduction-C1pres-C2del
tɾ,t,reduction-C1pres-C2del
tɾ,t,reduction-C1pres-C2del
vɹ,vɹ,accurate
vɹ,vɹ,accurate
ɡl,ɡl,accurate
ɡl,ɡl,accurate
ɡl,l,reduction-C1del-C2pres
ɡl,l,reduction-C1del-C2pres
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡʲ,reduction-C1sub-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡl,accurate
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡl,ɡ,reduction-C1pres-C2del
ɡw,w,reduction-C1del-C2pres
ɡw,ɡ,reduction-C1pres-C2del
ɡw,w,reduction-C1del-C2pres
ɡw,w,reduction-C1del-C2pres
ɡw,w,reduction-C1del-C2pres
ɡw,ɡl,substitution-C1pres-C2sub
ɡw,w,reduction-C1del-C2pres
ɡw,w,reduction-C1del-C2pres
ɡw,ɡ͈,reduction-C1sub-C2del
ɡw,w,reduction-C1del-C2pres
ɡw,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,j,reduction-C1sub-C2del
ɡɹ,ɡj,substitution-C1pres-C2sub
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,ɡ,reduction-C1pres-C2del
ɡɹ,d,reduction-C1sub-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,ɡɾ,accurate
ɡɾ,ɡ͈,reduction-C1sub-C2del
ɡɾ,ɡij,epenthesis
ɡɾ,ɡ͈,reduction-C1sub-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,ɡ͈,reduction-C1sub-C2del
ɡɾ,ɡ,reduction-C1pres-C2del
ɡɾ,g,deletion
ʃɹ,ʦ,reduction-C1sub-C2del
ʃɹ,s,reduction-C1sub-C2del
ʃɹ,ʧ,reduction-C1sub-C2del
ʃɹ,tw,substitution-C1sub-C2sub
ʃɹ,s̪,reduction-C1sub-C2del
ʃɹ,tʰ,reduction-C1sub-C2del
ʝw,n,reduction-C1sub-C2del
ʝw,l,reduction-C1sub-C2del
ʝw,ʝ,reduction-C1pres-C2del
ʧw,ʧw,accurate
ʧw,tʰ,reduction-C1sub-C2del
θɹ,ɹ,reduction-C1del-C2pres
θɹ,f,reduction-C1sub-C2del
θɹ,f,reduction-C1sub-C2del
θɹ,∅,deletion
θɹ,f,reduction-C1sub-C2del
θɹ,θ,reduction-C1pres-C2del
bj,∅,deletion
bj,bj,accurate
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,vj,substitution-C1sub-C2pres
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bj,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,pos,epenthesis
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,bw,substitution-C1pres-C2sub
bl,bl,accurate
bl,v,reduction-C1sub-C2del
bl,bw,substitution-C1pres-C2sub
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,b͈,reduction-C1sub-C2del
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,d,reduction-C1sub-C2del
bl,b,reduction-C1pres-C2del
bl,b,reduction-C1pres-C2del
bl,β,reduction-C1sub-C2del
bw,bw,accurate
bw,bw,accurate
bw,w,reduction-C1del-C2pres
bw,bw,accurate
bw,w,reduction-C1del-C2pres
bw,b,reduction-C1pres-C2del
bw,bw,accurate
bw,bw,accurate
bw,w,reduction-C1del-C2pres
bw,bw,accurate
bw,bw,accurate
bw,w,reduction-C1del-C2pres
bɹ,bɹ,accurate
bɹ,β,reduction-C1sub-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,b,reduction-C1pres-C2del
bɹ,v,reduction-C1sub-C2del
bɾ,∅,deletion
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,v,reduction-C1sub-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,bw,substitution-C1pres-C2sub
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,b,reduction-C1pres-C2del
bɾ,d,reduction-C1sub-C2del
dj,dj,accurate
dj,dj,accurate
dj,d,reduction-C1pres-C2del
dj,dj,accurate
dj,dj,accurate
dj,d,reduction-C1pres-C2del
dj,dj,accurate
dj,d,reduction-C1pres-C2del
dj,d,reduction-C1pres-C2del
dj,dj,accurate
dj,d,reduction-C1pres-C2del
dj,d,reduction-C1pres-C2del
dw,dw,accurate
dw,dw,accurate
dw,w,reduction-C1del-C2pres
dw,dw,accurate
dw,w,reduction-C1del-C2pres
dw,w,reduction-C1del-C2pres
dw,dw,accurate
dw,w,reduction-C1del-C2pres
dw,w,reduction-C1del-C2pres
dw,dw,accurate
dw,w,reduction-C1del-C2pres
dw,w,reduction-C1del-C2pres
dɹ,dɹ,accurate
dɹ,ʤ,reduction-C1sub-C2del
dɹ,ʤ,reduction-C1sub-C2del
dɹ,v,reduction-C1sub-C2del
dɹ,w,reduction-C1del-C2sub
dɹ,dw,substitution-C1pres-C2sub
dɾ,d͈,reduction-C1sub-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
dɾ,d,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fj,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,fw,substitution-C1pres-C2sub
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fl,f,reduction-C1pres-C2del
fw,fw,accurate
fw,fw,accurate
fw,f,reduction-C1pres-C2del
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fw,fw,accurate
fɹ,fw,substitution-C1pres-C2sub
fɹ,f,reduction-C1pres-C2del
fɹ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
fɾ,fij,epenthesis
fɾ,f,reduction-C1pres-C2del
fɾ,f,reduction-C1pres-C2del
